epoch,acc,loss,val_acc,val_loss
0,0.9062760422627131,0.2798230231551957,0.9439127606153488,0.17508391273995585
1,0.9378645827704005,0.17716655744292856,0.9519205725193024,0.13185844246232592
2,0.9461026714576615,0.14549019816677478,0.9476649299263954,0.13296961500091128
3,0.9496995564964082,0.13544770977673226,0.9544032105803489,0.11871354601416897
4,0.9521961799926228,0.12775619983062772,0.9548111981153489,0.11684949719615133
5,0.9542932573954265,0.12133583276068477,0.9576736110448837,0.10971093399736447
6,0.9558128381106589,0.11654040483282996,0.957408854663372,0.11068647954630251
7,0.9574286266167958,0.11272201465905583,0.9565668401122093,0.11265447498813728
8,0.9583007806208399,0.10952135836924484,0.9556553813815117,0.11614772748083169
9,0.9594155093034108,0.10698129532762596,0.9586957463622093,0.10568681388799007
